IPO name,Offer date,SIC,Ticker,Unit,Offer price
Loislaw.com Inc,19990929,7374,LOIS,1,14
ShopNow.com Inc,19990929,7374,SPNW,1,12
Telemate Net Software Inc,19990929,7372,TMNT,1,14
Digital Insight Corp,19990930,7372,DGIN,1,15
Breakaway Solutions Inc,19991005,7373,BWAY,1,14
Calico Commerce Inc,19991006,7375,CLIC,1,14
DSL.net Inc,19991006,4813,DSLN,1,7.5
PlanetRx.com Inc,19991006,5912,PLRX,1,16
Homeservices Com Inc,19991007,6531,HMSV,1,15
Interwoven Inc,19991007,7372,IWOV,1,17
QXL.com Plc,19991007,7372,QXLC,1,16.15
E-Stamp Corp,19991008,7372,ESTM,1,17
Jupiter Communications Inc,19991008,8732,JPTR,1,21
Vitaminshoppe.com Inc,19991008,5961,VSHP,1,11
Netcentives Inc,19991013,7389,NCNT,1,12
Igo Corp,19991014,4813,IGOC,1,12
Jacada Ltd,19991014,7372,JCDA,1,11
NetRadio Corp,19991014,7375,NETR,1,11
Women.com Networks,19991014,7375,WOMN,1,10
Cysive Inc,19991015,7371,CYSV,1,17
Satyam Infoway Ltd,19991018,7375,SIFY,1,18
Zapme Corp,19991019,7379,IZAP,1,11
Navisite Inc,19991022,7375,NAVI,1,14
Sycamore Networks Inc,19991022,7372,SCMR,1,38
InterTrust Technologies Corp,19991026,7371,ITRU,1,18
Viador Inc,19991026,7372,VIAD,1,9
Gaiam Inc,19991028,5961,GAIA,1,5
Akamai Technologies Inc,19991029,7389,AKAM,1,26
Cavion Technologies Inc,19991029,7372,CAVN,1,6.5
Be Free Inc,19991103,7375,BFRE,1,12
Tickets.com,19991103,7922,TIXX,1,12.5
Cobalt Networks Inc,19991104,3669,COBT,1,22
WebVan Group Inc,19991104,7375,WBVN,1,15
Expedia Inc,19991109,4724,EXPE,1,14
Netzee Inc,19991109,7375,NETZ,1,14
Next Level Communications,19991109,3669,NXTV,1,20
ASD Systems Inc,19991110,7389,ASDS,1,8
SonicWALL Inc,19991110,7372,SNWL,1,14
ibasis Inc,19991110,4813,IBAS,1,16
Netcreations Inc,19991112,7311,NTCR,1,13
Quintus Corp,19991116,7371,QNTS,1,18
Virata Corp,19991116,7372,VRTA,1,14
Korea Thrunet Co,19991117,7372,KOREA,1,18
Rainmaker Systems Inc,19991117,5961,RMKR,1,8
Retek Inc(HNC Software Inc),19991117,7372,RETK,1,15
Terra Networks(Telefonica SA),19991117,4813,TRRA,1,13.41
Web Street Inc,19991117,6211,WEBS,1,11
CacheFlow Inc,19991118,7372,CFLO,1,24
Exactis.com Inc,19991119,7375,XACT,1,14
Mediaplex Inc,19991119,7372,MPLX,1,12
SciQuest.com Inc,19991119,5199,SQST,1,16
Deltathree Com Inc,19991122,4813,DDDC,1,15
Digital Impact Inc,19991122,7375,DIGI,1,15
Getthere.Com Inc,19991122,7372,GTHR,1,16
SmarterKids com Inc,19991123,5945,SKDS,1,14
Knot Inc,19991201,7375,KNOT,1,10
Digimarc Corp,19991202,7372,DMRC,1,20
McAfee.com Corp,19991202,7375,MCAF,1,12
PFSweb Inc,19991202,5045,PFSW,1,17
Harris Interactive Inc,19991206,7375,HPOL,1,14
AirNet Communications Corp,19991207,3663,ANCC,1,14
E-Cruiter.com Inc,19991207,7375,ECRU,1,6
Healthcentral.com Inc,19991207,7375,HCEN,1,11
AGENCY.COM Ltd,19991208,7372,ACOM,1,26
Andover.net Inc,19991208,7379,ANDN,1,18
Fogdog Sports Inc,19991208,5941,FOGD,1,11
NetRatings Inc,19991208,8732,NTRT,1,17
Preview Systems Inc,19991208,7371,PRVW,1,21
MedicaLogic Inc,19991209,7372,MDLI,1,17
Ebenx Inc,19991210,7389,EBNX,1,20
Freemarkets Inc,19991210,7389,FMKT,1,48
MotherNature.com Inc,19991210,7375,MTHR,1,13
Plastic Surgery Co,19991210,8741,PSU,1,8
eSPEED Inc,19991210,7375,ESPD,1,22
Healthextras Inc,19991214,8999,HLEX,1,11
eCollege.com,19991214,7379,ECLG,1,11
GRIC Communications Inc,19991215,7375,GRIC,1,14
Xpedior Inc,19991215,7373,XPDR,1,19
Egreetings Network Inc,19991216,2771,EGRT,1,10
C-bridge Internet Solutions,19991217,7375,CBIS,1,16
Ondisplay Inc,19991217,7372,ONDS,1,28
Neoforma.com Inc,20000124,7389,NEOF,1,13
HealthGate Data Corp,20000125,7379,HGAT,1,11
724 Solutions Inc,20000127,7372,SVNX,1,26
L90 Inc,20000128,7311,LNTY,1,15
IMPSAT Fiber Networks Inc,20000201,4899,IMPT,1,17
SkillSoft Corp,20000201,7372,SKIL,1,14
Turnstone Systems Inc,20000201,4813,TSTN,1,29
Centra Software Inc,20000202,7371,CTRA,1,14
Emerge Interactive Inc,20000204,7375,EMRG,1,15
FirePond Inc,20000204,7372,FIRE,1,22
WorldQuest Networks Inc,20000204,4813,WQNI,1,13
Buy.com Inc,20000207,5734,BUYX,1,13
Fastnet Corp,20000208,7379,FSST,1,12
Landacorp Inc,20000208,8741,LCOR,1,10
Vicinity Corp,20000208,5999,VCNT,1,17
Delano Technology Corp,20000209,8741,DTEC,1,18
XCarenet Inc,20000209,7374,XCAR,1,18
Lante Corp,20000210,7379,LNTE,1,20
Lightspan Partnership Inc,20000210,8299,LSPN,1,12
Pets.com Inc,20000210,5999,IPET,1,11
Precis Smart Card Systems Inc,20000210,5045,PCIS,1,6
webMethods Inc,20000210,7372,WEBM,1,35
Flag Telecom Holdings Ltd,20000211,4899,FTHL,1,24
VIA NET.WORKS Inc,20000211,7375,VNWI,1,21
Savvis Communications Corp,20000214,7375,SVVS,1,24
Sunhawk.com Corp,20000214,2741,SNHK,1,12
Chordiant Software Inc,20000215,7372,CHRD,1,18
LendingTree Inc,20000215,7375,TREE,1,12
VarsityBooks.com Inc,20000215,5942,VSTY,1,10
b2bstores.com Inc,20000215,7389,BTBC,1,8
Choice One Communications,20000216,4813,CWON,1,20
Interactive Investor Intl PLC,20000216,6282,IINV,1,24.06
Gigamedia Ltd,20000217,7375,GIGM,1,27
Inforte Corp,20000217,7373,INFT,1,32
Carrier1 International SA,20000223,4813,CONE,1,17.483
Digitalthink Inc,20000224,7372,DTHK,1,14
Hotel Reservations Network Inc,20000225,7389,ROOM,1,16
Avenue A Inc,20000228,7319,AVEA,1,24
Niku Corp,20000228,7371,NIKU,1,24
Onvia.com Inc,20000229,7375,ONVI,1,21
net.Genesis Corp,20000229,7372,NTGX,1,18
AsiaInfo Holdings Inc,20000302,7373,ASIA,1,24
Prime Response Inc,20000302,7372,PRME,1,18
