permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd,begdat,begprc,date,prc
81137.0,13463.0,1994-12-09,2007-10-25,APPLIX INC,03831610,APLX,3.0,1994-12-09,1994-12-09,1994-12-09,10.0
81138.0,13457.0,1994-12-06,1994-12-12,APOLLO GROUP INC,03760410,APOLA,3.0,1994-12-06,1994-12-06,1994-12-06,11.875
81139.0,4811.0,1972-12-14,1987-07-17,VITRAMON INC,92849910,VITR,3.0,1972-12-14,1972-12-14,1972-12-14,3.6875
81140.0,13455.0,1994-12-02,2000-08-27,AREL COMMS & SOFTWARE LTD,M1492510,ARLCF,3.0,1994-12-02,1994-12-02,1994-12-02,4.9375
81141.0,13169.0,1994-12-07,2001-08-17,AVERT INC,05359610,AVRT,3.0,1994-12-07,1994-12-07,1994-12-07,4.0
81142.0,13460.0,1994-12-08,1998-08-04,APPLIED VOICE TECHNOLOGY INC,14071N10,AVTC,3.0,1994-12-08,1994-12-08,1994-12-08,13.375
81143.0,13477.0,1994-12-15,1995-02-14,BELDING HEMINWAY INC NEW,14309310,BHCO,3.0,1994-12-15,1994-12-15,1994-12-15,7.25
81144.0,13474.0,1994-12-15,1995-11-02,BOLLE AMERICA INC,09767E10,BLLE,3.0,1994-12-15,1994-12-15,1994-12-15,9.125
81145.0,13479.0,1994-12-15,2000-06-14,AMERICAN BINGO & GAMING CORP,53759010,BNGO,3.0,1994-12-15,1994-12-15,1994-12-15,6.75
81146.0,13482.0,1994-12-16,2001-11-27,B T G INC,05576J10,BTGI,3.0,1994-12-16,1994-12-16,1994-12-16,8.0
81147.0,6339.0,1983-08-29,1991-06-23,VIVIGEN INC,92854010,VIVI,3.0,1983-08-29,1983-08-29,1983-08-29,2.8125
81148.0,13496.0,1994-12-30,2014-02-28,CAMCO FINANCIAL CORP,13261810,CAFI,3.0,1994-12-30,1994-12-30,1994-12-30,14.75
81149.0,13469.0,1994-12-14,1997-06-12,COVENANT BANK SAVINGS N J,22290610,CNSK,3.0,1994-12-14,1994-12-14,1994-12-14,10.5
81150.0,13456.0,1994-12-02,1998-11-17,CONCORDIA PAPER HOLDINGS LTD,20657510,CPLNY,3.0,1994-12-02,1994-12-02,1994-12-02,10.125
81151.0,13453.0,1994-12-01,1998-01-22,DOVE AUDIO INC,65250310,DOVE,3.0,1994-12-01,1994-12-01,1994-12-01,10.25
81152.0,13461.0,1994-12-08,1997-09-10,EMCARE HOLDINGS INC,29082010,EMCR,3.0,1994-12-08,1994-12-08,1994-12-08,11.125
81153.0,13454.0,1994-12-01,1996-03-24,FLORES & RUCKS INC,67481220,FNRI,3.0,1994-12-01,1994-12-01,1994-12-01,10.0
81154.0,8243.0,1994-12-16,1999-02-15,GENZYME CORP,37291740,GENZL,3.0,1994-12-16,1994-12-16,1994-12-16,4.75
81155.0,4823.0,1976-07-13,1986-10-15,VOGART CRAFTS CORP,92858010,VOGT,3.0,1976-07-13,1976-07-13,1976-07-13,2.625
81156.0,13465.0,1994-12-13,2002-08-15,GILMAN & CIOCIA INC,37590810,GTAX,3.0,1994-12-13,1994-12-13,1994-12-13,3.5625
81157.0,13471.0,1994-12-14,1997-03-24,GLOBAL TELECOM SOLUTIONS INC,37935Y20,GTST,3.0,1994-12-14,1994-12-14,1994-12-14,5.0
81158.0,13476.0,1994-12-15,1997-06-24,TRANS WORLD GAMING CORP,89337510,IBET,3.0,1994-12-15,1994-12-15,1994-12-15,7.375
81159.0,13478.0,1994-12-15,1998-04-29,INDIANA COMMUNITY BANK SB,45467610,INCB,3.0,1994-12-15,1994-12-15,1994-12-15,11.0
81160.0,13486.0,1994-12-16,1998-10-19,I W I HOLDING LTD,G4986410,JEWLF,3.0,1994-12-16,1994-12-16,1994-12-16,8.75
81161.0,13481.0,1994-12-29,1998-03-02,LIN TELEVISION CORP,53277610,LNTV,3.0,1994-12-29,1994-12-29,1994-12-29,22.375
81162.0,13462.0,1994-12-09,2015-08-03,MICREL INC,59479310,MCRL,3.0,1994-12-09,1994-12-09,1994-12-09,13.5
81163.0,25979.0,1972-12-14,1973-09-04,VOGUE INSTRUMENT CORP,92860110,,3.0,1972-12-14,1972-12-14,1972-12-14,4.9375
81164.0,13459.0,1994-12-07,1998-07-31,MEDCATH INC,58405010,MCTH,3.0,1994-12-07,1994-12-07,1994-12-07,14.5
81165.0,13487.0,1994-12-19,2018-12-31,MITCHAM INDUSTRIES INC,60650110,MIND,3.0,1994-12-19,1994-12-19,1994-12-19,3.0
81166.0,13473.0,1994-12-15,1996-01-31,MICROTEC RESEARCH INC,59495010,MTEC,3.0,1994-12-15,1994-12-15,1994-12-15,8.25
81167.0,13464.0,1994-12-09,1995-04-26,NORTHWEST BANK COMMERCE ORE,66476P10,NBOC,3.0,1994-12-09,1994-12-09,1994-12-09,5.25
81169.0,13472.0,1994-12-15,1998-01-21,NETCOM ON LINE COMM SVCS INC,64108110,NETC,3.0,1994-12-15,1994-12-15,1994-12-15,17.0
81170.0,5973.0,1994-12-20,1998-06-01,NU TECH BIO MED INC,67019L10,NTBM,3.0,1994-12-20,1994-12-20,1994-12-20,7.375
81171.0,7032.0,1984-05-18,1990-04-05,VOICEMAIL INTERNATIONAL INC,92861210,VOIC,3.0,1984-05-18,1984-05-18,1984-05-18,4.375
81172.0,13489.0,1994-12-20,1997-10-19,ORTHODONTIC CENTERS AMERICA INC,67083Q10,OCAI,3.0,1994-12-20,1994-12-20,1994-12-20,11.75
81173.0,13480.0,1994-12-16,1997-06-04,STILLWATER MINING CO,86074Q10,PGMS,3.0,1994-12-16,1994-12-16,1994-12-16,13.625
81174.0,13483.0,1994-12-16,1997-07-09,PHAMIS INC,71710110,PHAM,3.0,1994-12-16,1994-12-16,1994-12-16,13.25
81175.0,13492.0,1994-12-21,1998-01-01,PRICE ENTERPRISES INC,74144P50,PREN,3.0,1994-12-21,1994-12-21,1994-12-21,14.0
81176.0,13495.0,1994-12-21,1998-12-13,SAINT ANDREWS GOLF CORP,01643P10,SAGC,3.0,1994-12-21,1994-12-21,1994-12-21,4.5
81177.0,13490.0,1994-12-20,1998-09-14,SPECIALTY TELECONSTRUCTORS INC,68211J10,SCTR,3.0,1994-12-20,1994-12-20,1994-12-20,4.125
81178.0,13467.0,1994-12-14,1999-09-13,SECURITY DYNAMICS TECHS INC,74971910,SDTI,3.0,1994-12-14,1994-12-14,1994-12-14,16.375
81179.0,13458.0,1994-12-07,1999-09-16,SKYLANDS COMMUNITY BANK,83081H10,SKCB,3.0,1994-12-07,1994-12-07,1994-12-07,4.5
81180.0,13493.0,1994-12-21,1995-11-12,SULPHUR SPRINGS LN & BLDG ASSN,50160010,SSBL,3.0,1994-12-21,1994-12-21,1994-12-21,9.625
