comnam,ticker,filingYr
NEUTRAL POSTURE ERGONOMICS INC,NTRL,1997
N2K INC,NTKI,1997
MAC-GRAY CORP,TUC,1997
VLPS LIGHTING SERVICES INTERNATIONAL INC,LITE,1997
CONCORD COMMUNICATIONS INC,CCRD,1997
LADENBURG THALMANN FINANCIAL SERVICES INC.,FHAN,1997
BLACKOUT MEDIA CORP.,HMSI,1997
"C. H. ROBINSON WORLDWIDE, INC.",CHRW,1997
WESTOWER CORP,WTWU,1997
TRACK N TRAIL INC,TKTL,1997
U S A FLORAL PRODUCTS INC,ROSI,1997
INTERCORP EXCELLE INC,RENE,1997
STONERIDGE INC,SRI,1997
INTELLIGENT POLYMERS LTD,IXP.U,1997
KOFAX IMAGE PRODUCTS INC,KOFX,1997
NATIONAL RESEARCH CORP,NRCI,1997
"A.C. MOORE ARTS & CRAFTS, INC.",ACMR,1997
STARTEC GLOBAL COMMUNICATIONS CORP,STGC,1997
AMERICAN ITALIAN PASTA CO,PLB,1997
RENEX CORP,RENX,1997
"IDENTIV, INC.",SCMM,1997
SYNAGEVA BIOPHARMA CORP,TRMS,1997
LOGILITY INC,LGTY,1997
JEVIC TRANSPORTATION INC,JEVC,1997
OREGON TRAIL FINANCIAL CORP.,OTFC,1997
CORIXA CORP,CRXA,1997
SPR INC,SPRI,1997
STRATESEC INC,SFT,1997
PETERSEN COMPANIES INC,PTN,1997
OSI SYSTEMS INC,OSIS,1997
POWER ONE INC,PWER,1997
SHS BANCORP INC,SHSB,1997
RSL COMMUNICATIONS LTD,RSLCF,1997
ANNAPOLIS BANCORP INC,ANNB,1997
IVEX PACKAGING CORP /DE/,IXX,1997
OMEGA RESEARCH INC,OMGA,1997
OMEGA ORTHODONTICS INC,ORTH,1997
BUILDING ONE SERVICES CORP,BUYR,1997
HOWMET INTERNATIONAL INC,HWM,1997
3DSHOPPING COM,IBUY,1997
LANDMARK FINANCIAL CORP /DE,LMFC,1997
INTERLEUKIN GENETICS INC,MSSI,1997
NANOPHASE TECHNOLOGIES CORP,NANX,1997
ALPHASTAR INSURANCE GROUP LTD,SCBHF,1997
BRASS EAGLE INC,XTRM,1997
GOLDEN MINERALS CO,SIL,1997
TRAMMELL CROW CO,TCW,1997
PAPER WAREHOUSE INC,PWHS,1997
MEADOWCRAFT INC,MWI,1997
LETS TALK CELLULAR & WIRELESS INC,LTCW,1997
INTERVEST BANCSHARES CORP,INTA,1997
GAMETECH INTERNATIONAL INC,GMTC,1997
HOLTS CIGAR HOLDINGS INC,HOLT,1997
ELECTRIC LIGHTWAVE INC,ELIX,1997
MOTOR CARGO INDUSTRIES INC,CRGO,1997
APPLIED MICRO CIRCUITS CORP,AMCC,1997
BIOANALYTICAL SYSTEMS INC,BASI,1997
"AFFILIATED MANAGERS GROUP, INC.",AMG,1997
RADIOLOGIX INC,APPM,1997
APPLIED FILMS CORP,AFCO,1997
DENALI INC,DNLI,1997
DAN RIVER INC /GA/,DRF,1997
ORE PHARMACEUTICAL HOLDINGS INC.,GLGC,1997
HOMEUSA INC,HSH,1997
HEALTHWORLD CORP,HWLD,1997
GEOSPACE TECHNOLOGIES CORP,OYOG,1997
REALNETWORKS INC,RNWK,1997
"SPECTRUM BRANDS, INC.",ROV,1997
ENHERENT CORP,PRTG,1997
TELIGENT INC,TGNT,1997
PREVIEW TRAVEL INC,PTVL,1997
INTERVU INC,ITVU,1997
NOVADEL PHARMA INC,FLEM,1997
QUERYOBJECT SYSTEMS CORP,CRSZ,1997
INTERNATIONAL HOME FOODS INC,IHF,1997
"NOBLE INTERNATIONAL, LTD.",NIL,1997
PROGENICS PHARMACEUTICALS INC,PGNX,1997
LANDMARK SYSTEMS CORP,LDMK,1997
SAGA SYSTEMS INC /DE/,AGS,1997
FRANCHISE MORTGAGE ACCEPTANCE CO,FMAX,1997
AVIATION HOLDINGS GROUP INC/FL,AHGI,1997
SFORZA ENTERPRISES INC,SFZAU,1997
U S TIMBERLANDS CO LP,TIMBZ,1997
IRI INTERNATIONAL CORP,IIR,1997
METTLER TOLEDO INTERNATIONAL INC/,MTD,1997
CHARLES & COLVARD LTD,CTHR,1997
FRIENDLY ICE CREAM CORP,FRND,1997
HYPERCOM CORP,HYC,1997
BINGHAM FINANCIAL SERVICES CORP,BFSC,1997
METRO-GOLDWYN-MAYER INC,MGM,1997
SPORTSLINE COM INC,SPLN,1997
MATECH CORP.,MTEY,1997
BAY BANCSHARES INC,BAYB,1997
HYBRID NETWORKS INC,HYBR,1997
NOVACARE EMPLOYEE SERVICES INC,NCES,1997
"ECHO THERAPEUTICS, INC.",PHON,1997
SONIC AUTOMOTIVE INC,SAH,1997
"DEGAMA SOFTWARE SOLUTIONS, INC.",TKGFA,1997
"CAPITAL FINANCIAL HOLDINGS, INC",NDHI,1997
ENCOMPASS SERVICES CORP,MAK,1997
BARBEQUES GALORE LTD,BBQZY,1997
BRIGHT HORIZONS INC,BRHZ,1997
LINC CAPITAL INC,LNCC,1997
PRECISION AUTO CARE INC,PACI,1997
AMERICAN SKIING CO /ME,SKI,1997
SOMNUS MEDICAL TECHNOLOGIES INC,SOMN,1997
VOICENET INC,VNET,1997
YOUNG INNOVATIONS INC,YDNT,1997
CTI INDUSTRIES CORP,CTIB,1997
INTERNATIONAL AIRCRAFT INVESTORS,IAIS,1997
POPMAIL COM INC,HOTD,1997
"ASSERTIO THERAPEUTICS, INC",DPMD,1997
DENTAL CARE ALLIANCE INC,DENT,1997
TIMIOS NATIONAL CORP,CLRT,1997
BAYARD DRILLING TECHNOLOGIES INC,BDI,1997
T&W FINANCIAL CORP,TWFC,1997
AMF BOWLING INC,PIN,1997
EXCEL SWITCHING CORP,XLSW,1997
POWERTRADER INC,PTSW,1997
CODDLE CREEK FINANCIAL CORP,CDLC,1997
DELAWARE FIRST FINANCIAL CORP,DFFN,1997
GUARANTY FEDERAL BANCSHARES INC,GFED,1997
GREAT PEE DEE BANCORP INC,PEDE,1997
UNION COMMUNITY BANCORP,ucbc,1997
AGRITOPE INC,AGTO,1997
WARWICK COMMUNITY BANCORP INC,WSBI,1997
FRIEDMAN BILLINGS RAMSEY GROUP INC,FBG,1997
STATEN ISLAND BANCORP INC,SIB,1997
PACIFICHEALTH LABORATORIES INC,PHLI,1997
BIG CITY RADIO INC,YFM,1997
LECG INC,XPT,1997
MADE2MANAGE SYSTEMS INC,MTMS,1997
NORTH ARKANSAS BANCSHARES INC,NARK,1997
UNITED RENTALS NORTH AMERICA INC,URI,1997
"PASSPORT BRANDS, INC",ISAC,1997
INFORMATION ADVANTAGE INC,IACO,1997
DOLLAR THRIFTY AUTOMOTIVE GROUP INC,DTG,1997
"REMY INTERNATIONAL, INC.",RMY,1997
"OFFICIAL PAYMENTS HOLDINGS, INC.",TIER,1997
GABRIEL TECHNOLOGIES CORP,PVII,1997
CONNING INC.,CNNG,1997
ESG RE LTD,ESREF,1997
FEDERAL TRUST CORP,FDTR,1997
FLEXIINTERNATIONAL SOFTWARE INC/CT,FLXI,1997
FOCAL INC,FOCL,1997
SPECTRA  PHYSICS INC,SPLI,1997
POWER INTEGRATIONS INC,POWI,1997
"FOOTBALL EQUITIES, INC",PRED,1997
COMMUNITY NATIONAL CORP /TN,ILCY,1997
HIGH COUNTRY BANCORP INC,HCBC,1997
THERMO VISION CORP,VIZ,1997
BROUGHTON FOODS CO,MILK,1997
WMF GROUP LTD,WMFG,1997
USWEB CORP,USWB,1997
OMNI ENERGY SERVICES CORP,OMNI,1997
MIDWAY AIRLINES CORP,MDWY,1997
IMAGEMAX INC,IMAG,1997
"WOW HOLDINGS, INC.",SOAP,1997
PEOPLES COMMUNITY CAPITAL CORP,PPLM,1997
MPW INDUSTRIAL SERVICES GROUP INC,MPWG,1997
U S VISION INC,USVI,1997
EQUALITY BANCORP INC,EBI,1997
AQUAPENN SPRING WATER COMPANY INC,APN,1998
MERCURY SYSTEMS INC,MRCY,1998
VERISIGN INC/CA,VRSN,1998
SM&A,WINS,1998
MERGE HEALTHCARE INC,MRGE,1998
JPS INDUSTRIES INC,JPST,1998
KEEBLER FOODS CO,KBL,1998
CAREER EDUCATION CORP,CECO,1998
HAWKER PACIFIC AEROSPACE,HPAC,1998
TARPON COAST BANCORP INC,TCBA,1998
"ROCKWELL MEDICAL, INC.",RMTI,1998
