DATE,NASDAQCOM
9/19/00,3865.64
9/20/00,3897.44
9/21/00,3828.87
9/22/00,3803.76
9/25/00,3741.22
9/26/00,3689.1
9/27/00,3656.3
9/28/00,3778.32
9/29/00,3672.82
10/2/00,3568.9
10/3/00,3455.83
10/4/00,3523.1
10/5/00,3472.1
10/6/00,3361.01
10/9/00,3355.56
10/10/00,3240.54
10/11/00,3168.49
10/12/00,3074.68
10/13/00,3316.77
10/16/00,3290.28
10/17/00,3213.96
10/18/00,3171.56
10/19/00,3418.6
10/20/00,3483.14
10/23/00,3468.69
10/24/00,3419.79
10/25/00,3229.57
10/26/00,3272.18
10/27/00,3278.36
10/30/00,3191.4
10/31/00,3369.63
11/1/00,3333.39
11/2/00,3429.02
11/3/00,3451.58
11/6/00,3416.21
11/7/00,3415.79
11/8/00,3231.7
11/9/00,3200.35
11/10/00,3028.99
11/13/00,2966.72
11/14/00,3138.27
11/15/00,3165.49
11/16/00,3031.88
11/17/00,3027.19
11/20/00,2875.64
11/21/00,2871.45
11/22/00,2755.34
11/23/00,.
11/24/00,2904.38
11/27/00,2880.49
11/28/00,2734.98
11/29/00,2706.93
11/30/00,2597.93
12/1/00,2645.29
12/4/00,2615.75
12/5/00,2889.8
12/6/00,2796.5
12/7/00,2752.66
12/8/00,2917.43
12/11/00,3015.1
12/12/00,2931.77
12/13/00,2822.77
12/14/00,2728.51
12/15/00,2653.27
12/18/00,2624.52
12/19/00,2511.71
12/20/00,2332.78
12/21/00,2340.12
12/22/00,2517.02
12/25/00,.
12/26/00,2493.52
12/27/00,2539.35
12/28/00,2557.76
12/29/00,2470.52
1/1/01,.
1/2/01,2291.86
1/3/01,2616.69
1/4/01,2566.83
1/5/01,2407.65
1/8/01,2395.92
1/9/01,2441.3
1/10/01,2524.18
1/11/01,2640.57
1/12/01,2626.5
1/15/01,.
1/16/01,2618.55
1/17/01,2682.78
1/18/01,2768.49
1/19/01,2770.38
1/22/01,2757.91
1/23/01,2840.39
1/24/01,2859.15
1/25/01,2754.28
1/26/01,2781.3
1/29/01,2838.34
1/30/01,2838.35
1/31/01,2772.73
2/1/01,2782.79
2/2/01,2660.5
2/5/01,2643.21
2/6/01,2664.49
2/7/01,2607.82
2/8/01,2562.06
2/9/01,2470.97
2/12/01,2489.66
2/13/01,2427.72
2/14/01,2491.4
2/15/01,2552.91
2/16/01,2425.38
2/19/01,.
2/20/01,2318.35
2/21/01,2268.94
2/22/01,2244.96
2/23/01,2262.51
2/26/01,2308.5
2/27/01,2207.82
2/28/01,2151.83
3/1/01,2183.37
3/2/01,2117.63
3/5/01,2142.92
3/6/01,2204.43
3/7/01,2223.92
3/8/01,2168.73
3/9/01,2052.78
3/12/01,1923.38
3/13/01,2014.78
3/14/01,1972.09
3/15/01,1940.71
3/16/01,1890.91
3/19/01,1951.18
3/20/01,1857.44
3/21/01,1830.23
3/22/01,1897.7
3/23/01,1928.68
3/26/01,1918.49
3/27/01,1972.26
3/28/01,1854.13
3/29/01,1820.57
3/30/01,1840.26
4/2/01,1782.97
4/3/01,1673
4/4/01,1638.8
4/5/01,1785
4/6/01,1720.36
4/9/01,1745.71
4/10/01,1852.03
4/11/01,1898.95
4/12/01,1961.43
4/13/01,.
4/16/01,1909.57
4/17/01,1923.22
4/18/01,2079.44
4/19/01,2182.14
4/20/01,2163.41
4/23/01,2059.32
4/24/01,2016.61
4/25/01,2059.8
4/26/01,2034.88
4/27/01,2075.68
4/30/01,2116.24
5/1/01,2168.24
5/2/01,2220.6
5/3/01,2146.2
5/4/01,2191.53
5/7/01,2173.57
5/8/01,2198.77
5/9/01,2156.63
5/10/01,2128.86
5/11/01,2107.43
5/14/01,2081.92
5/15/01,2085.58
5/16/01,2166.44
5/17/01,2193.68
5/18/01,2198.88
5/21/01,2305.59
5/22/01,2313.85
5/23/01,2243.48
5/24/01,2282.02
5/25/01,2251.03
5/28/01,.
5/29/01,2175.54
5/30/01,2084.5
5/31/01,2110.49
6/1/01,2149.44
6/4/01,2155.93
6/5/01,2233.66
6/6/01,2217.73
6/7/01,2264
6/8/01,2215.1
6/11/01,2170.78
6/12/01,2169.95
6/13/01,2121.66
6/14/01,2044.07
6/15/01,2028.43
6/18/01,1988.63
6/19/01,1992.66
6/20/01,2031.24
6/21/01,2058.76
6/22/01,2034.84
6/25/01,2050.87
6/26/01,2064.62
6/27/01,2074.74
6/28/01,2125.46
6/29/01,2160.54
7/2/01,2148.72
7/3/01,2140.8
7/4/01,.
7/5/01,2080.11
7/6/01,2004.16
7/9/01,2026.71
7/10/01,1962.79
7/11/01,1972.04
7/12/01,2075.74
7/13/01,2084.79
7/16/01,2029.12
7/17/01,2067.32
7/18/01,2016.17
7/19/01,2046.59
7/20/01,2029.37
7/23/01,1988.56
7/24/01,1959.24
7/25/01,1984.32
7/26/01,2022.96
7/27/01,2029.07
7/30/01,2017.84
7/31/01,2027.13
8/1/01,2068.38
8/2/01,2087.38
8/3/01,2066.33
8/6/01,2034.26
8/7/01,2027.79
8/8/01,1966.36
8/9/01,1963.32
8/10/01,1956.47
